epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6604,2.23058,2.10677,1.42119,0.56092,0.35207,0.28688,0.12166,2.34712,3.76023,1.56261,0.00031438,0.00031438,0.00031438
2,70.7007,2.02146,1.24757,1.31466,0.34386,0.38407,0.34267,0.14124,2.21137,2.13549,1.4848,0.000641777,0.000641777,0.000641777
3,92.8622,2.01021,1.18726,1.29651,0.65482,0.49366,0.52271,0.21487,2.06195,1.38172,1.3866,0.000967872,0.000967872,0.000967872
4,114.523,1.97062,1.1188,1.2815,0.52769,0.6106,0.51762,0.22723,2.07733,1.48137,1.42651,0.00129267,0.00129267,0.00129267
5,134.348,1.96268,1.1405,1.26769,0.48844,0.47124,0.43581,0.19609,2.2506,1.4589,1.54031,0.00141768,0.00141768,0.00141768
6,155.929,1.98487,1.13784,1.29819,0.44561,0.40328,0.38879,0.16447,2.11647,1.37243,1.37981,0.00141485,0.00141485,0.00141485
7,178.386,1.93979,1.07621,1.27464,0.68155,0.5737,0.59229,0.26653,2.04511,1.14877,1.368,0.00141202,0.00141202,0.00141202
8,199.073,1.92112,1.05245,1.24467,0.62675,0.50041,0.55407,0.23025,2.05485,1.2593,1.35673,0.00140919,0.00140919,0.00140919
9,219.353,1.9271,1.05509,1.25863,0.63683,0.6525,0.60063,0.26841,2.06089,1.12259,1.34764,0.00140636,0.00140636,0.00140636
10,239.481,1.92403,1.04097,1.26269,0.65675,0.55198,0.58368,0.26782,2.05575,1.09672,1.37195,0.00140354,0.00140354,0.00140354
11,260.584,1.84847,0.98273,1.23459,0.84571,0.56015,0.68049,0.30477,2.03775,1.04028,1.34076,0.00140071,0.00140071,0.00140071
12,281.914,1.89158,1.00433,1.25149,0.71563,0.62061,0.64379,0.29884,2.03242,1.0849,1.33463,0.00139788,0.00139788,0.00139788
